MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
220413000,GUNVOR MAERSK,71,9302891,OYGC2,264,103,21,21,13.2,170800
220415000,GERD MAERSK,74,9320245,OYGM2,264,103,21,22,14.4,170800
220416000,GEORG MAERSK,74,9320257,OYGN2,264,103,21,22,14.2,170800
220594000,GUNDE MAERSK,71,9359014,OUIY2,265,102,21,21,14.5,170800
220595000,GUNHILDE MAERSK,70,9359026,OUJI2,262,105,9,34,11.4,170800
220597000,GUTHORM MAERSK,71,9359040,OUJN2,265,102,21,21,14.5,170800
220598000,GERDA MAERSK,71,9359052,OUJS2,265,102,21,21,13.7,170800
228335900,CMA CGM TOSCA,70,9299783,FMEL,242,92,21,21,9.3,128745
228339600,CMA CGM ALMAVIVA,71,9450648,FLSU,261,73,33,10,13.6,128745
228342900,CMA CGM MEDEA,71,9299800,FMFR,259,89,28,15,13.1,145622
228354600,CMA CGM RIGOLETTO,71,9299654,FMHR,260,89,22,21,13.5,146881
228386800,CC CHAMPS ELYSEES,71,9839131,FLZF,114,285,24,37,11.9,219487
228394600,CMA CGM PALAIS ROYAL,71,9839181,FMMT,116,284,35,27,10.9,221142
228394900,CMA CGM LOUVRE,71,9839143,FMMY,116,284,24,38,14.2,221142
228397600,CMA CGM RIVOLI,71,9839193,FMNG,116,284,38,24,11.3,221142
228397700,CMA CGM MONTMARTRE,71,9839155,FMNH,116,284,24,38,12.8,221142
228401800,CMA CGM CONCORDE,71,9839208,FMOF,116,284,38,24,11.4,221142
228409800,CMA CGM PATAGONIA,71,9894961,FMPQ,128,238,29,22,12.8,169408
228409900,CMA CGM KIMBERLEY,74,9894973,FMPR,128,238,29,22,14.8,169408
228410600,CMA CGM EVERGLADE,71,9894985,FMPS,132,234,25,26,15.1,169408
228410700,CMA CGM GALAPAGOS,71,9894997,FMPT,128,238,31,20,13.3,169408
228410800,CMA CGM GREENLAND,79,9895006,FMPU,128,238,29,22,15.1,169408
229041000,RUBY,70,9626390,9HA3017,150,33,6,22,10.3,20582
229075000,CMA CGM CAIMEP,71,9431757,9HA5437,193,68,16,16,10.8,61434
229263000,ETOILE,74,9301469,9HA3184,163,47,15,15,10.3,31999
229326000,CMA CGM HOPE,70,9897755,9HA5466,110,256,21,30,13.1,169408
229334000,CNC BANGKOK,71,9706279,9HA5470,153,19,18,9,9.8,17089
229389000,CMA CGM UNITY,70,9897767,9HA5479,110,256,30,21,14,169408
229393000,CMA CGM BALI,71,9867827,9HA5482,110,256,29,22,13.7,169408
229457000,CMA CGM VELA,71,9354923,9HA5500,258,89,23,23,15.1,144371
229458000,VALOR,70,9628154,9HA3347,224,76,15,33,13.3,93294
229463000,CMA CGM DIGNITY,70,9897779,9HA5502,110,256,30,21,13.8,169408
229464000,CMA CGM INTEGRITY,70,9897781,9HA5503,110,256,30,21,11.6,169408
229465000,CMA CGM LIBERTY,70,9897793,9HA5504,120,246,21,30,12.7,169408
229488000,CMA CGM CHOPIN,71,9280603,9HA3373,191,86,20,20,10,73439
229489000,CMA CGM PUCCINI,78,9280627,9HA3374,187,90,23,17,11.4,73439
229541000,VALIANT,70,9628178,9HA3391,224,76,15,33,6.8,93294
229592000,CMA CGM OSIRIS,71,9882504,9HA5531,129,237,19,32,14.1,169408
229598000,VANTAGE,70,9628192,9HA3435,227,73,20,28,12.9,93294
229620000,MSC AZOV,70,9605255,9HA3457,110,190,16,32,10.8,93294
229622000,MSC TRIESTE,71,9484479,9HA3459,140,225,28,21,14.9,168023
229625000,MSC AJACCIO,79,9605267,9HA3461,110,190,16,32,8.4,93294
229626000,MSC AMALFI,71,9605279,9HA3462,110,190,16,32,10.7,93294
229639000,CMA CGM NEVADA,71,9471408,9HA3474,145,221,28,20,15.1,169408
