scenario_id,tau_clear_s,psi_clear_deg,distance_at_t0_m,status,entered_hazard,n_entries,n_exits
INT_440030820_440279000_20231127_0639,84.000,9.957,25.894,cleared_after_entry,1,1,1
INT_440008040_636092854_20231127_1000,18.600,0.545,33.768,cleared_after_entry,1,1,1
INT_440313250_538007486_20231127_1011,0.000,0.000,85.804,never_entered,0,0,0
INT_440139260_413383270_20231127_1256,105.400,12.119,51.393,cleared_after_entry,1,1,1
INT_440151610_413383270_20231127_1256,111.200,13.112,51.393,cleared_after_entry,1,1,1
INT_440127410_303340000_20231127_1308,45.400,4.275,79.945,cleared_after_entry,1,1,1
INT_440127410_431989000_20231127_1523,0.000,0.000,112.780,never_entered,0,0,0
INT_440008040_431989000_20231127_1527,0.000,0.000,112.780,never_entered,0,0,0
INT_440412320_636019986_20231127_1625,0.000,0.000,102.812,never_entered,0,0,0
INT_440008040_636092854_20231128_0028,17.800,0.462,33.768,cleared_after_entry,1,1,1
INT_440313260_212348000_20231128_0049,141.200,18.305,83.805,cleared_after_entry,1,1,1
INT_440008040_356367000_20231128_0054,21.600,0.952,43.832,cleared_after_entry,1,1,1
INT_440108150_356367000_20231128_0121,122.200,15.008,43.832,cleared_after_entry,1,1,1
INT_440018500_215765000_20231128_0305,0.000,0.000,113.071,never_entered,0,0,0
INT_440127410_441261000_20231128_0454,0.000,0.000,26.613,never_entered,0,0,0
INT_440702880_440013330_20231128_0518,14.200,1.077,12.298,cleared_after_entry,1,1,1
INT_440008040_538009273_20231128_0551,10.800,0.053,21.401,cleared_after_entry,1,1,1
INT_440151610_538009273_20231128_0619,51.200,2.842,21.401,cleared_after_entry,1,1,1
INT_440104800_255806072_20231128_0623,124.600,15.423,28.844,cleared_after_entry,1,1,1
INT_440139260_255806072_20231128_0625,118.400,14.352,28.844,cleared_after_entry,1,1,1
INT_440008040_440141000_20231128_0822,0.000,0.000,33.772,never_entered,0,0,0
INT_440008040_303340000_20231128_0850,0.000,0.000,79.945,never_entered,0,0,0
INT_440139260_440141000_20231128_0850,94.400,11.905,33.772,cleared_after_entry,1,1,1
INT_440005000_440141000_20231128_0850,112.000,15.246,33.772,cleared_after_entry,1,1,1
INT_440313250_440141000_20231128_1029,0.000,0.000,33.772,never_entered,0,0,0
INT_440700180_440147210_20231128_1209,0.000,0.000,62.500,never_entered,0,0,0
INT_440104800_440086000_20231128_1409,114.600,15.742,33.661,cleared_after_entry,1,1,1
INT_440700180_563004600_20231128_1537,86.400,7.569,27.295,cleared_after_entry,1,1,1
INT_440108150_563004600_20231128_1540,87.200,7.686,27.295,cleared_after_entry,1,1,1
INT_440127410_440134270_20231128_1712,13.800,0.907,12.298,cleared_after_entry,1,1,1
INT_440127410_440013330_20231128_1727,9.600,0.273,12.298,cleared_after_entry,1,1,1
INT_440008040_356575000_20231128_1746,0.000,0.000,97.140,never_entered,0,0,0
INT_440008040_538005112_20231128_1750,21.800,0.639,28.306,cleared_after_entry,1,1,1
INT_441925000_440141000_20231128_1803,40.000,4.817,33.772,cleared_after_entry,1,1,1
INT_440008040_538007482_20231128_2246,39.200,3.053,81.892,cleared_after_entry,1,1,1
INT_440113610_538007482_20231128_2312,0.000,0.000,81.892,never_entered,0,0,0
INT_440008040_538009762_20231128_2335,141.200,18.305,104.064,cleared_after_entry,1,1,1
INT_440008040_371793000_20231129_0650,16.600,0.320,31.305,cleared_after_entry,1,1,1
INT_440008040_574002930_20231129_0650,13.000,0.151,20.248,cleared_after_entry,1,1,1
INT_440132580_477884200_20231129_0808,84.400,7.279,22.277,cleared_after_entry,1,1,1
INT_440075240_440151030_20231129_1341,18.000,2.427,12.482,cleared_after_entry,1,1,1
INT_440008040_538005112_20231129_1415,49.600,3.222,28.306,cleared_after_entry,1,1,1
INT_440008040_477884200_20231129_1807,53.200,3.079,22.277,cleared_after_entry,1,1,1
